source_paper,figure_ref,surface_id,surface_label,fluid,delta_T_wall,delta_T_sub,q_flux,Ra_um,theta_deg,category,notes
JABARDO_2009,Fig9d_Cu_Ra10p5SPI,SFC-038,JABARDO_Cu_Ra10p5SPI,R-134a,2.4296,0.0,4336.83,10.5,,jabardo,"ONB_auto (hint=[2.0,8.0]K)"
JABARDO_2009,Fig9d_Cu_Ra2p5SPI,SFC-035,JABARDO_Cu_Ra2p5SPI,R-134a,2.0344,0.0,6581.02,2.5,,jabardo,"ONB_auto (hint=[2.0,10.0]K)"
JABARDO_2009,Fig9d_Cu_Ra4p6SPI,SFC-037,JABARDO_Cu_Ra4p6SPI,R-134a,2.3324,0.0,8471.75,4.6,,jabardo,"ONB_auto (hint=[2.0,9.0]K)"
JONES_2009,Fig3a_EDM10p0,SFC-020,JONES_EDM10p0,water,3.9881,0.0,6617.85,10.0,,jones,"ONB_auto (hint=[2.0,7.0]K)"
JONES_2009,Fig3a_EDM1p08,SFC-017,JONES_EDM1p08,water,4.4643,0.0,6691.54,1.08,,jones,"ONB_auto (hint=[4.0,10.0]K)"
JONES_2009,Fig3a_EDM2p22,SFC-018,JONES_EDM2p22,water,4.9107,0.0,7147.46,2.22,,jones,"ONB_auto (hint=[3.0,9.0]K)"
JONES_2009,Fig3a_EDM5p89,SFC-019,JONES_EDM5p89,water,5.0298,0.0,7165.88,5.89,,jones,"ONB_auto (hint=[2.0,8.0]K)"
JONES_2009,Fig3a_Polished,SFC-015,JONES_Polished_w,water,11.1905,0.0,18564.06,0.038,,jones_w,"ONB_auto (hint=[8.0,14.0]K)"
JONES_2009,Fig4a_EDM10p0,SFC-020,JONES_EDM10p0,FC-77,3.4413,0.0,3835.39,10.0,,jones,ONB_manual (was idx=2)
JONES_2009,Fig4a_EDM1p08,SFC-017,JONES_EDM1p08,FC-77,8.0567,0.0,9407.78,1.08,,jones,ONB_manual (was idx=1)
JONES_2009,Fig4a_EDM2p22,SFC-018,JONES_EDM2p22,FC-77,6.9231,0.0,9638.1,2.22,,jones,ONB_manual (was idx=0)
JONES_2009,Fig4a_EDM5p89,SFC-019,JONES_EDM5p89,FC-77,5.4656,0.0,5744.13,5.89,,jones,ONB_manual (was idx=1)
JONES_2009,Fig4a_Polished,SFC-016,JONES_Polished_F,FC-77,8.502,0.0,3882.81,0.027,,jones_F,"ONB_auto (hint=[8.0,14.0]K)"
JO_2011,Fig3_Hydrophilic,SFC-008,JO_Hydrophilic,water,10.6522,0.0,36833.94,0.00175,54.0,jo,ONB_manual (preserved)
JO_2011,Fig3_Hydrophobic,SFC-009,JO_Hydrophobic,water,1.6957,0.0,7386.07,0.00175,123.0,jo,"WARN: delta_T=1.70 out of [2,30] K range; ONB_manual (preserved)"
PHAN_2009,Fig12a_theta22,SFC-010,PHAN_SiOx,water,18.9556,15.0,127923.38,0.03,22.0,phan,ONB_manual (preserved)
PHAN_2009,Fig12a_theta31,SFC-011,PHAN_TiO2,water,14.7124,15.0,59479.7,0.03,31.0,phan,ONB_manual (preserved)
PHAN_2009,Fig12a_theta67,SFC-012,PHAN_Pt,water,24.8896,15.0,172459.04,0.03,67.0,phan,ONB_manual (preserved)
PHAN_2009,Fig12a_theta80,SFC-013,PHAN_Fe2O3,water,13.5093,15.0,66763.15,0.03,80.0,phan,ONB_manual (preserved)
PHAN_2009,Fig12a_theta85,SFC-014,PHAN_ref,water,12.2663,15.0,82151.0,0.03,85.0,phan,ONB_manual (preserved)
