paper_id,fluid,channel_type,D_h_mm,G_kg_m2s,P_kPa,delta_T_sub_K,Ra_um,theta_deg,surface_cat,q_onb_W_m2,delta_T_onb_K,source_fig,digitize_date,notes
basu2002,water,tube_circular,9.5,-1.0,101.325,-1.0,-1,38.0,ss_rod,-1.0,31.50354297710996,fig10,2026-05-28,parity ΔT_ONB; x=predicted(35.11°C); series=Past_theta38_water-SS
basu2002,water,tube_circular,9.5,-1.0,101.325,-1.0,-1,30.0,copper_flat,-1.0,5.355549249815214,fig10,2026-05-28,parity ΔT_ONB; x=predicted(6.00°C); series=Pres_theta30_water-Cu_flat
basu2002,water,tube_circular,9.5,-1.0,101.325,-1.0,-1,30.0,copper_flat,-1.0,5.3231177805294765,fig10,2026-05-28,parity ΔT_ONB; x=predicted(6.61°C); series=Pres_theta30_water-Cu_flat
basu2002,water,tube_circular,9.5,-1.0,101.325,-1.0,-1,30.0,copper_flat,-1.0,6.197426559611081,fig10,2026-05-28,parity ΔT_ONB; x=predicted(7.61°C); series=Pres_theta30_water-Cu_flat
basu2002,water,tube_circular,9.5,-1.0,101.325,-1.0,-1,30.0,copper_flat,-1.0,7.609839677346446,fig10,2026-05-28,parity ΔT_ONB; x=predicted(7.03°C); series=Pres_theta30_water-Cu_flat
basu2002,water,tube_circular,9.5,-1.0,101.325,-1.0,-1,30.0,copper_flat,-1.0,7.130563717266172,fig10,2026-05-28,parity ΔT_ONB; x=predicted(9.14°C); series=Pres_theta30_water-Cu_flat
basu2002,water,tube_circular,9.5,-1.0,101.325,-1.0,-1,30.0,copper_flat,-1.0,9.335188854287631,fig10,2026-05-28,parity ΔT_ONB; x=predicted(10.02°C); series=Pres_theta30_water-Cu_flat
basu2002,water,tube_circular,9.5,-1.0,101.325,-1.0,-1,30.0,copper_flat,-1.0,9.3866065768218,fig10,2026-05-28,parity ΔT_ONB; x=predicted(11.84°C); series=Pres_theta30_water-Cu_flat
basu2002,water,tube_circular,9.5,-1.0,101.325,-1.0,-1,30.0,copper_flat,-1.0,11.056652434997453,fig10,2026-05-28,parity ΔT_ONB; x=predicted(13.92°C); series=Pres_theta30_water-Cu_flat
basu2002,water,tube_circular,9.5,-1.0,101.325,-1.0,-1,30.0,copper_flat,-1.0,11.86618989802654,fig10,2026-05-28,parity ΔT_ONB; x=predicted(12.00°C); series=Pres_theta30_water-Cu_flat
basu2002,water,tube_circular,9.5,-1.0,101.325,-1.0,-1,30.0,copper_flat,-1.0,11.064045614931038,fig10,2026-05-28,parity ΔT_ONB; x=predicted(10.29°C); series=Pres_theta30_water-Cu_flat
basu2002,water,tube_circular,9.5,-1.0,101.325,-1.0,-1,30.0,copper_flat,-1.0,11.00130754015174,fig10,2026-05-28,parity ΔT_ONB; x=predicted(9.51°C); series=Pres_theta30_water-Cu_flat
basu2002,water,tube_circular,9.5,-1.0,101.325,-1.0,-1,30.0,copper_flat,-1.0,10.313427629952075,fig10,2026-05-28,parity ΔT_ONB; x=predicted(9.94°C); series=Pres_theta30_water-Cu_flat
basu2002,water,tube_circular,9.5,-1.0,101.325,-1.0,-1,30.0,copper_flat,-1.0,9.670432330931952,fig10,2026-05-28,parity ΔT_ONB; x=predicted(9.51°C); series=Pres_theta30_water-Cu_flat
basu2002,water,tube_circular,9.5,-1.0,101.325,-1.0,-1,30.0,copper_flat,-1.0,8.652182970973067,fig10,2026-05-28,parity ΔT_ONB; x=predicted(9.10°C); series=Pres_theta30_water-Cu_flat
basu2002,water,tube_circular,9.5,-1.0,101.325,-1.0,-1,30.0,copper_flat,-1.0,7.925160495971582,fig10,2026-05-28,parity ΔT_ONB; x=predicted(8.52°C); series=Pres_theta30_water-Cu_flat
basu2002,water,tube_circular,9.5,-1.0,101.325,-1.0,-1,30.0,copper_flat,-1.0,8.067068352416403,fig10,2026-05-28,parity ΔT_ONB; x=predicted(7.91°C); series=Pres_theta30_water-Cu_flat
basu2002,water,tube_circular,9.5,-1.0,101.325,-1.0,-1,30.0,copper_flat,-1.0,8.403939695942539,fig10,2026-05-28,parity ΔT_ONB; x=predicted(8.34°C); series=Pres_theta30_water-Cu_flat
basu2002,water,tube_circular,9.5,-1.0,101.325,-1.0,-1,30.0,copper_flat,-1.0,15.447332940567646,fig10,2026-05-28,parity ΔT_ONB; x=predicted(12.00°C); series=Pres_theta30_water-Cu_flat
basu2002,water,tube_circular,9.5,-1.0,101.325,-1.0,-1,30.0,copper_flat,-1.0,13.571764504955851,fig10,2026-05-28,parity ΔT_ONB; x=predicted(15.07°C); series=Pres_theta30_water-Cu_flat
basu2002,water,tube_circular,9.5,-1.0,101.325,-1.0,-1,30.0,copper_flat,-1.0,17.665243441172567,fig10,2026-05-28,parity ΔT_ONB; x=predicted(16.02°C); series=Pres_theta30_water-Cu_flat
basu2002,water,tube_circular,9.5,-1.0,101.325,-1.0,-1,57.0,zr_rod,-1.0,1.6244373915922588,fig10,2026-05-28,parity ΔT_ONB; x=predicted(1.80°C); series=Pres_theta57_water-Zr_rod
basu2002,water,tube_circular,9.5,-1.0,101.325,-1.0,-1,57.0,zr_rod,-1.0,1.478370623776874,fig10,2026-05-28,parity ΔT_ONB; x=predicted(2.20°C); series=Pres_theta57_water-Zr_rod
basu2002,water,tube_circular,9.5,-1.0,101.325,-1.0,-1,57.0,zr_rod,-1.0,1.8367710954362089,fig10,2026-05-28,parity ΔT_ONB; x=predicted(2.00°C); series=Pres_theta57_water-Zr_rod
basu2002,water,tube_circular,9.5,-1.0,101.325,-1.0,-1,57.0,zr_rod,-1.0,1.935846509126071,fig10,2026-05-28,parity ΔT_ONB; x=predicted(2.20°C); series=Pres_theta57_water-Zr_rod
basu2002,water,tube_circular,9.5,-1.0,101.325,-1.0,-1,57.0,zr_rod,-1.0,1.8252945189818657,fig10,2026-05-28,parity ΔT_ONB; x=predicted(2.40°C); series=Pres_theta57_water-Zr_rod
basu2002,water,tube_circular,9.5,-1.0,101.325,-1.0,-1,57.0,zr_rod,-1.0,1.7825167389140792,fig10,2026-05-28,parity ΔT_ONB; x=predicted(2.72°C); series=Pres_theta57_water-Zr_rod
