surface_id,surface_label,n_obs,Ra_um,theta_deg,fluid,category,source_paper,r_c_min_um,r_c_max_um,r_c_geomean_um,r_c_std_um,r_c_range_lo_um,r_c_range_hi_um,n_valid
SFC-037,JABARDO_Cu_Ra4p6SPI,4,4.6,,R-123,jabardo,JABARDO_2009,0.028828617050802228,107.6167394594343,1.668260015051764,0.9706902487704918,0.008841948474889066,179.56751721099448,4
SFC-031,JABARDO_Cu_Ra0p07P,2,0.07,,R-134a,jabardo,JABARDO_2009,0.008842714074372173,59.70772232919927,0.7225806798702521,0.07649765419817062,0.0088424272387372,72.21164129915472,2
SFC-034,JABARDO_Cu_Ra0p5SP,2,0.5,,R-134a,jabardo,JABARDO_2009,0.008842929266817467,65.34629663328995,0.7348279093985044,0.194564266965713,0.008842144870580174,97.68781558431319,2
SFC-035,JABARDO_Cu_Ra2p5SPI,2,2.5,,R-134a,jabardo,JABARDO_2009,0.008843699171594211,35.663013681745596,0.5566565479861689,0.07430122002146469,0.008843081303072464,45.01911622941374,2
SFC-020,JONES_EDM10p0,1,10.0,,water,jones,JONES_2009,0.06092627835287157,408.039062585662,4.986010580207269,,0.06092627835287157,408.039062585662,1
SFC-017,JONES_EDM1p08,1,1.08,,water,jones,JONES_2009,0.060925398355361926,451.73754436526815,5.246169063471644,,0.060925398355361926,451.73754436526815,1
SFC-018,JONES_EDM2p22,1,2.22,,water,jones,JONES_2009,0.060925160334795815,465.2134477741454,5.3238335713603,,0.060925160334795815,465.2134477741454,1
SFC-019,JONES_EDM5p89,1,5.89,,water,jones,JONES_2009,0.06092499145881827,475.2728211609856,5.381077268525468,,0.06092499145881827,475.2728211609856,1
SFC-015,JONES_Polished_w,1,0.038,,water,jones_w,JONES_2009,0.06092627568405149,408.1588033907433,4.986742000370281,,0.06092627568405149,408.1588033907433,1
SFC-008,JO_Hydrophilic,1,0.00175,54.0,water,jo,JO_2011,0.060936142645287454,195.78230962362773,3.4540148735419796,,0.060936142645287454,195.78230962362773,1
SFC-009,JO_Hydrophobic,1,0.00175,123.0,water,jo,JO_2011,0.060941069815999366,155.41137328819008,3.077488480848617,,0.060941069815999366,155.41137328819008,1
SFC-010,PHAN_SiOx,1,0.03,22.0,water,phan,PHAN_2009,0.06095420813276162,100.28620272592556,2.472421095566124,,0.06095420813276162,100.28620272592556,1
SFC-011,PHAN_TiO2,1,0.03,31.0,water,phan,PHAN_2009,0.06093935240047315,167.44577391210436,3.1943758426959845,,0.06093935240047315,167.44577391210436,1
SFC-012,PHAN_Pt,1,0.03,67.0,water,phan,PHAN_2009,0.060955199011421275,97.6738868644769,2.440026887565634,,0.060955199011421275,97.6738868644769,1
SFC-013,PHAN_Fe2O3,1,0.03,80.0,water,phan,PHAN_2009,0.06094428770897304,136.96837158834353,2.8891936323323044,,0.06094428770897304,136.96837158834353,1
SFC-014,PHAN_ref,1,0.03,85.0,water,phan,PHAN_2009,0.06095392640910651,101.0546524030761,2.4818698285516385,,0.06095392640910651,101.0546524030761,1
